team1_score,team2_score,winner
10,34,LA
33,10,NE
42,36,NE
27,41,LA
16,21,LA
28,37,LA
20,18,NE
10,31,LA
27,6,NE
14,13,NE
48,16,NE
23,7,NE
24,20,NE
10,17,LA
23,20,NE
47,13,NE
27,20,NE
24,17,NE
28,10,NE
20,28,LA
31,14,NE
31,10,NE
34,13,NE
20,21,LA
17,25,LA
21,17,NE
30,28,NE
27,22,NE
16,0,NE
24,16,NE
31,14,NE
37,38,LA
29,7,NE
39,23,NE
27,13,NE
45,14,NE
40,6,NE
17,19,LA
13,10,NE
45,30,NE
45,10,NE
42,10,NE
34,19,NE
31,13,NE
20,14,NE
14,17,LA
13,24,LA
27,17,NE
13,7,NE
31,20,NE
17,31,LA
10,13,LA
31,27,NE
50,20,NE
17,14,NE
27,17,NE
24,6,NE
10,13,LA
30,14,NE
24,22,NE
30,58,LA
27,10,NE
31,27,NE
26,21,NE
27,26,NE
10,16,LA
34,10,NE
37,23,NE
24,22,NE
29,13,NE
27,20,NE
10,21,LA
6,19,LA
20,10,NE
30,28,NE
31,21,NE
20,18,NE
21,10,NE
31,14,NE
17,10,NE
16,30,LA
20,27,LA
21,7,NE
3,20,LA
42,31,NE
26,27,LA
41,20,NE
30,10,NE
27,20,NE
17,10,NE
38,21,NE
46,20,NE
30,6,NE
27,2,NE
21,17,NE
9,40,LA
27,33,LA
28,6,NE
40,38,NE
27,20,NE
16,27,LA
30,24,NE
31,13,NE
34,13,NE
44,7,NE
24,27,LA
31,48,LA
30,26,NE
52,23,NE
10,28,LA
21,39,LA
36,7,NE
28,24,NE
68,21,NE
27,6,NE
27,28,LA
13,19,LA
43,19,NE
28,19,NE
27,20,NE
34,44,LA
30,24,NE
6,3,NE
6,3,NE
31,38,LA
33,26,NE
31,7,NE
28,3,NE
17,38,LA
34,10,NE
17,10,NE
17,20,LA
20,16,NE
27,10,NE
30,14,NE
20,10,NE
24,10,NE
24,3,NE
21,13,NE
24,10,NE
20,26,LA
52,7,NE
21,29,LA
17,9,NE
21,16,NE
20,10,NE
10,3,NE
38,24,NE
27,17,NE
27,10,NE
24,12,NE
33,24,NE
34,24,NE
37,31,NE
34,27,NE
34,20,NE
10,13,LA
14,13,NE
30,32,LA
41,24,NE
45,38,NE
17,37,LA
27,10,NE
27,10,NE
44,20,NE
21,32,LA
27,10,NE
29,13,NE
34,10,NE
30,69,LA
31,35,LA
34,20,NE
43,21,NE
20,23,LA
14,6,NE
3,22,LA
24,23,NE
23,17,NE
20,17,NE
20,14,NE
20,10,NE
41,17,NE
17,26,LA
29,10,NE
16,27,LA
41,10,NE
52,23,NE
28,43,LA
27,17,NE
17,21,LA
21,17,NE
24,26,LA
27,31,LA
22,10,NE
28,17,NE
30,16,NE
24,21,NE
24,26,LA
31,7,NE
38,6,NE
34,13,NE
23,6,NE
27,7,NE
33,24,NE
9,30,LA
28,13,NE
44,9,NE
20,16,NE
40,7,NE
20,16,NE
27,7,NE
20,27,LA
26,16,NE
28,24,NE
55,37,NE
17,26,LA
35,31,NE
42,14,NE
30,29,NE
38,17,NE
27,26,NE
21,17,NE
41,17,NE
27,10,NE
47,10,NE
30,28,NE
7,10,LA
31,13,NE
9,27,LA
48,27,NE
31,30,NE
24,17,NE
16,22,LA
23,30,LA
32,16,NE
31,3,NE
28,30,LA
7,27,LA
31,17,NE
31,14,NE
27,13,NE
16,10,NE
30,41,LA
20,7,NE
36,10,NE
21,48,LA
23,21,NE
35,3,NE
42,10,NE
19,16,NE
13,17,LA
38,17,NE
13,9,NE
30,27,NE
23,0,NE
21,13,NE
7,17,LA
49,27,NE
7,23,LA
34,6,NE
23,16,NE
34,24,NE
19,20,LA
13,21,LA
26,24,NE
38,17,NE
24,13,NE
24,34,LA
35,24,NE
28,20,NE
33,7,NE
26,23,NE
13,26,LA
23,0,NE
31,14,NE
27,31,LA
9,20,LA
27,6,NE
17,21,LA
17,24,LA
13,21,LA
35,16,NE
20,17,NE
31,20,NE
21,13,NE
23,28,LA
20,13,NE
24,27,LA
27,23,NE
23,31,LA
24,6,NE
29,16,NE
21,17,NE
17,27,LA
33,24,NE
21,34,LA
31,13,NE
9,13,LA
31,20,NE
27,20,NE
27,7,NE
16,30,LA
6,26,LA
